bin,n,mean_pred,actual_rate,calib_err
0.2-0.3,13,0.268,0.3077,0.0397
0.3-0.4,94,0.3598,0.2872,0.0726
0.4-0.5,281,0.4545,0.4698,0.0152
0.5-0.6,408,0.5528,0.5588,0.006
0.6-0.7,355,0.6469,0.6507,0.0038
0.7-0.8,146,0.7365,0.7192,0.0173
0.8-0.9,15,0.8194,0.8667,0.0472
